profile,follower
55302,31256020
55302,151877045
55302,154738720
51537,184316653
52217,9525666
55190,5360246
53439,92236361
52217,13323255
52217,15718575
45170,420203758
56513,1184970
56730,178524
51967,49236003
56730,202591
56730,234964
56513,4902436
56730,656081
56965,92131
56231,2851982
56965,206876
56231,42015973
51967,157074045
51967,170045070
51967,177738481
51967,185879610
51967,190338877
57028,344349
57028,841755
51967,255425898
56730,72360862
57028,1203681
56965,265565
57028,1669144
56965,311264
56965,341366
56965,373237
56443,118478
56231,291121544
56965,976500
57480,406112
57616,430455
57266,192339
57266,192414
56443,262109
57480,4906606
56965,2467244
52217,81613095
56965,3296509
56443,427468
57266,726325
56965,7583787
57266,907835
56965,10948487
56965,15737967
57266,1051418
56965,83036463
52217,135651165
52217,136716374
57266,6735124
57694,234896
58757,149892
56443,878593
52217,152455892
57368,854904
52217,156209120
58757,634757
58757,852911
57266,74947059
57368,2824437
57368,3765978
57694,1488116
56443,2457629
57694,4232754
57368,79542943
52217,188425059
57368,167325039
58787,661064
58787,1412901
59184,182195
59184,994370
57705,41273503
58787,74947059
58932,542146
58932,2893531
58932,6735124
58932,25731377
56443,135651165
58932,55353301
58932,157074045
59853,68131
59853,115897
59653,189699
59653,192339
59853,157208
59653,264725
59853,172100
59853,173249
59653,461882
59853,327999
59853,358186
59653,873245
55190,290683289
59853,937778
59853,1502854
59853,2517502
59653,1540896
59894,418214
59853,5836709
59853,7049172
59653,2157728
59653,2323065
59689,159438
59653,2875929
60400,873245
59894,1210422
59853,11974420
60056,71591
59653,8639949
59653,9026668
59853,37132707
60400,47833097
59653,16689132
59853,50319167
59653,74947059
59853,144848696
59853,177100798
59853,318725697
61583,178374
59894,53445711
61869,1119519
61869,2142089
59894,232216700
61583,2196733
61583,2574014
61583,4167283
62742,63806
61583,9838674
62742,192339
62279,406112
62742,230955
62622,213320
63806,159438
63806,192339
62279,451854
63806,201300
64074,1956802
63806,230955
64074,5623572
63806,432114
63806,433589
61583,57255089
63806,792906
62279,1635020
62279,1719327
62622,548557
63164,3502358
62742,554801
62622,588919
63070,2820652
62700,1351582
62742,832851
63806,19542274
62700,2032471
62700,2175503
62700,3211181
62700,3643188
63806,74947059
62700,6696036
64751,84741
62700,7319793
64751,182926
64751,388376
62279,4906606
64751,398662
64751,417218
63070,147995001
62742,1770596
62700,53073567
64751,856359
62279,10168019
62279,10490052
62622,2336179
62700,74947059
65606,1273929
65369,119416
62622,2742738
62279,15179373
65369,356829
62622,3503247
62622,3579257
65369,465054
62700,186238184
62742,74947059
66158,71139
66158,82748
66158,274597
65369,2052933
66158,692518
66158,718304
66158,872965
66158,1429368
66158,1538925
65369,16468088
66158,2362180
66158,2675139
66158,3128621
66158,5453163
62279,35252555
66158,7813830
65622,7202183
66158,28636351
66158,36194589
66158,154738720
62742,228134839
66530,99420
62279,138192245
62279,147039263
62279,166128329
62279,217532670
68470,142777
66530,2617141
66576,1444330
66576,2406488
66576,2444194
66576,5578761
66380,9347381
66380,13482034
67529,84975
69384,85187
69384,244488
67529,366399
66597,117964
66967,71139
67529,767374
67529,4676693
67529,15451578
68661,196790
68979,4860175
68979,6639812
68131,344999
68979,20929013
69384,3483884
66967,265565
66967,287251
66967,339971
66967,397415
66967,455282
66967,541144
67612,46957016
69384,152368244
66967,798733
66967,870419
66967,897994
69795,167725
69795,1390021
66967,1545365
66967,1592139
66967,1947278
66967,2362180
69482,92380
69482,140441
66597,19221400
67612,181130475
69482,196790
66967,32111180
66597,74947059
71139,144666
71139,162618
68131,2517502
71139,408626
71139,455282
69482,243131
69482,265655
69482,355597
68131,6470356
69482,366967
69637,572090
68131,7049172
70565,4167889
68131,7646763
68654,46463493
68654,46807975
69482,416388
68131,8746176
70565,6533943
71660,380086
70565,8812729
71660,1147896
72869,173249
72869,207600
68131,37132707
68131,48196389
68131,50319167
69482,465054
71517,1183916
69637,10908860
71139,1305762
69482,501579
71591,72058
71517,1775967
71139,2362180
69482,558616
71796,602685
71139,2960572
71591,128308
69482,576517
71796,946987
71139,5899761
71139,6886770
71139,9738294
71139,28636351
71139,32111180
71796,1290322
71139,67373715
71796,1343087
69482,674186
71517,7632290
71591,554424
71591,596676
71591,657515
